dataset,rank,feature,importance,method
dili,3,rdkit_FractionCSP3,0.014499926453667716,native
dili,4,rdkit_SMR_VSA10,0.012891150163705803,native
dili,5,rdkit_MinAbsPartialCharge,0.012756030861633143,native
dili,6,rdkit_PEOE_VSA3,0.012678523262662599,native
dili,7,rdkit_BCUT2D_LOGPLOW,0.011879512030350394,native
dili,8,rdkit_SlogP_VSA10,0.011366967253289591,native
dili,9,rdkit_BertzCT,0.01131896477293618,native
dili,10,rdkit_MaxPartialCharge,0.01117941116273672,native
half_life_obach,1,rdkit_VSA_EState1,0.055927416022918605,native
half_life_obach,2,morgan_r2_bit368,0.051346941358603605,native
half_life_obach,3,rdkit_SlogP_VSA6,0.038116361322062545,native
half_life_obach,4,morgan_r2_bit103,0.03585189402189754,native
half_life_obach,5,rdkit_VSA_EState9,0.03342660418890657,native
half_life_obach,6,rdkit_PEOE_VSA13,0.03239867542391694,native
half_life_obach,7,rdkit_PEOE_VSA4,0.03141847775899951,native
half_life_obach,8,morgan_r2_bit640,0.027925383000857038,native
half_life_obach,9,rdkit_FpDensityMorgan1,0.02373805469620469,native
half_life_obach,10,morgan_r2_bit1713,0.022759312766098768,native
herg,1,rdkit_Chi1n,0.019307090430425628,native
herg,2,rdkit_Chi0,0.015607876683704128,native
herg,3,rdkit_MolMR,0.015579056077070916,native
herg,4,rdkit_Kappa2,0.015563018323068063,native
herg,5,rdkit_Chi3n,0.015079206236596988,native
herg,6,rdkit_Chi2n,0.014703368852034184,native
herg,7,rdkit_MolLogP,0.013380666784303077,native
herg,8,rdkit_Chi0v,0.012958098256570419,native
herg,9,rdkit_Chi2v,0.012137692490788589,native
herg,10,rdkit_EState_VSA4,0.01193133417430924,native
hia_hou,1,rdkit_BCUT2D_MRLOW,0.028098194486827197,native
hia_hou,2,rdkit_qed,0.025417993154348062,native
hia_hou,3,rdkit_TPSA,0.023774964693373334,native
hia_hou,4,rdkit_fr_quatN,0.023328770743635957,native
hia_hou,5,rdkit_SMR_VSA1,0.015961117537966862,native
hia_hou,6,rdkit_SlogP_VSA2,0.014274793023436904,native
hia_hou,7,rdkit_Kappa1,0.01391440480872749,native
hia_hou,8,rdkit_EState_VSA1,0.01295232284991992,native
hia_hou,9,rdkit_FpDensityMorgan1,0.012900305276339495,native
hia_hou,10,rdkit_NOCount,0.012509529999735109,native
ld50_zhu,1,rdkit_BCUT2D_LOGPHI,0.0993050833345873,native
ld50_zhu,2,morgan_r2_bit192,0.03741488712119075,native
ld50_zhu,3,rdkit_BCUT2D_MRHI,0.034602392721237,native
ld50_zhu,4,rdkit_Chi3v,0.023342947059945943,native
ld50_zhu,5,rdkit_SMR_VSA10,0.017493647645035894,native
ld50_zhu,6,rdkit_HeavyAtomMolWt,0.016031704018078644,native
ld50_zhu,7,rdkit_Chi2v,0.015500918555354964,native
ld50_zhu,8,rdkit_fr_NH0,0.013951519891952868,native
ld50_zhu,9,rdkit_MaxPartialCharge,0.013608592474621754,native
ld50_zhu,10,rdkit_Chi4v,0.011611112193310114,native
lipophilicity_astrazeneca,1,rdkit_MolLogP,0.19860654376525874,native
lipophilicity_astrazeneca,2,rdkit_fr_COO,0.05243467950228993,native
lipophilicity_astrazeneca,3,rdkit_fr_COO2,0.048755643882304585,native
lipophilicity_astrazeneca,4,rdkit_RingCount,0.021505228667060537,native
lipophilicity_astrazeneca,5,rdkit_MinEStateIndex,0.012619831589134815,native
lipophilicity_astrazeneca,6,rdkit_NumAromaticRings,0.012517385184509072,native
lipophilicity_astrazeneca,7,rdkit_fr_Al_COO,0.012204252084165163,native
lipophilicity_astrazeneca,8,rdkit_BalabanJ,0.012081153970730896,native
lipophilicity_astrazeneca,9,rdkit_VSA_EState5,0.012002645954219605,native
lipophilicity_astrazeneca,10,rdkit_SMR_VSA7,0.011896230807873956,native
pgp_broccatelli,1,rdkit_Chi1n,0.023614094303238103,native
pgp_broccatelli,2,rdkit_Kappa2,0.022244900000070546,native
pgp_broccatelli,3,rdkit_Chi1v,0.022048100222395468,native
pgp_broccatelli,4,rdkit_SlogP_VSA6,0.019553114562056027,native
pgp_broccatelli,5,rdkit_SMR_VSA7,0.019327841671490265,native
pgp_broccatelli,6,rdkit_MolMR,0.01818138351787063,native
pgp_broccatelli,7,rdkit_Chi1,0.017871595367080165,native
pgp_broccatelli,8,rdkit_Chi0v,0.017685678568408265,native
pgp_broccatelli,9,rdkit_MolLogP,0.016332658029890465,native
pgp_broccatelli,10,rdkit_Chi3n,0.015512841302550125,native
ppbr_az,1,rdkit_MolLogP,0.13769209462742252,native
ppbr_az,2,rdkit_BertzCT,0.041633700389172974,native
ppbr_az,3,rdkit_Chi1,0.031067081382055946,native
ppbr_az,4,rdkit_FractionCSP3,0.02853106847436213,native
ppbr_az,5,rdkit_Ipc,0.022018181414386898,native
ppbr_az,6,rdkit_SMR_VSA10,0.02003490452484613,native
ppbr_az,7,rdkit_LabuteASA,0.01977434830822377,native
ppbr_az,8,rdkit_BCUT2D_MRHI,0.018019922448746603,native
ppbr_az,9,rdkit_SlogP_VSA6,0.015486421138439704,native
ppbr_az,10,rdkit_SlogP_VSA2,0.011386588164127008,native
solubility_aqsoldb,1,rdkit_MolLogP,0.2973232042304529,native
solubility_aqsoldb,2,rdkit_PEOE_VSA6,0.08045838132454083,native
solubility_aqsoldb,3,rdkit_MolMR,0.06289751048276652,native
solubility_aqsoldb,4,rdkit_Chi3v,0.02263693535727681,native
solubility_aqsoldb,5,rdkit_BCUT2D_LOGPHI,0.0196449286520376,native
solubility_aqsoldb,6,rdkit_Chi4v,0.01718122403306661,native
solubility_aqsoldb,7,rdkit_MinPartialCharge,0.01540657777437976,native
solubility_aqsoldb,8,rdkit_SlogP_VSA2,0.014128669875709873,native
solubility_aqsoldb,9,rdkit_Chi1v,0.013888707552750793,native
solubility_aqsoldb,10,rdkit_Chi4n,0.013130074145725912,native
vdss_lombardo,1,morgan_r2_bit1964,0.09656500566756554,native
vdss_lombardo,2,morgan_r2_bit1156,0.06711129881101432,native
vdss_lombardo,3,morgan_r2_bit690,0.06572663273124699,native
vdss_lombardo,4,morgan_r2_bit1021,0.032837376133580454,native
vdss_lombardo,5,morgan_r2_bit1932,0.028649454642494732,native
vdss_lombardo,6,morgan_r2_bit296,0.022495966126793717,native
vdss_lombardo,7,rdkit_EState_VSA5,0.015412459535788707,native
vdss_lombardo,8,morgan_r2_bit1675,0.014451394332675583,native
vdss_lombardo,9,morgan_r2_bit1666,0.013008276165810477,native
vdss_lombardo,10,rdkit_BCUT2D_LOGPLOW,0.012386347055317335,native
